"","id_sampl","FID","strata_id","psu_id","population","ADM3_FR","ADM3_PCODE","ADM3_REF","ADM3ALT1FR","ADM3ALT2FR","ADM2_FR","ADM2_PCODE","ADM1_FR","ADM1_PCODE","SumDist","proba","survey_buffer","POINT_X","POINT_Y","NEAR_FID","NEAR_DIST","NEAR_X","NEAR_Y","NEAR_featureNam","NEAR_pcode","Exclude","Include","Check Exclure","Visité (Oui/NON)","Jour visité","enquêtes faites","manque Enquètes?","Equipe","Responsable","Date enquête"
"1","id_51012",51011,"BF5402","OB-212",1487.41709597,"Bagaré","BF540202","Bagare","NA","NA","Passoré","BF5402","Nord","BF54",298176.080925642,0.00498838502187211,4,-2.60669667716,12.9121894459999,"6984","8.0556796691200003E-3","-2.6","12.916667","Bagare","BF5402020039",NA,NA,NA,"oui",2020-08-05,4,0,3,"Robin",2020-08-03
"2","id_57366",57365,"BF5404","PK-162",262.75121648,"Goursi","BF540403",NA,"NA","NA","Zondoma","BF5404","Nord","BF54",170860.082456648,0.00153781510989653,4,-2.36710007506,13.3034690207,"8295","6.6630875967099998E-3","-2.3607680000000002","13.3013949999999","Bagare","BF5404040001",NA,NA,NA,"oui",2020-07-19,4,0,3,"Robin",2020-07-18
"3","id_36953",36952,"BF13","TR-290",4222.86605551,"Ouagadougou","BF130004",NA,"NA","NA","Kadiogo","BF1300","Centre","BF13",2907110.40733481,0.00145259913240841,4,-1.60723656646,12.295627693,"4669","6.3427460048299999E-3","-1.6125","12.299167000000001","Bakiensom","BF1300040008",NA,NA,NA,"oui",2020-08-09,4,0,8,"Robin",2020-08-05
"4","id_37221",37220,"BF13","UN-289",4422.22883066,"Ouagadougou","BF130004",NA,"NA","NA","Kadiogo","BF1300","Centre","BF13",2907110.40733481,0.00152117677385161,4,-1.45663298857,12.3035323309,"4672","6.9396317362599999E-3","-1.450833","12.2997219999999","Balkouin","BF1300040010",NA,NA,NA,"oui",2020-08-07,4,0,8,"Robin",2020-08-03
"5","id_37222",37221,"BF13","UO-289",4277.23772146,"Ouagadougou","BF130004",NA,"NA","NA","Kadiogo","BF1300","Centre","BF13",2907110.40733481,0.00147130212552928,4,-1.44978737114,12.2995800119,"4672","1.05522525108E-3","-1.450833","12.2997219999999","Balkouin","BF1300040010",NA,NA,NA,"oui",2020-08-07,4,0,8,"Robin",2020-08-03
"6","id_55987",55986,"BF4903","WO-175",28.209177433,"Kaya","BF490304",NA,"NA","NA","Sanmatenga","BF4903","Centre-Nord","BF49",438084.305604161,6.43921205853216e-05,4,-1.0938152768,13.2007087276,"7938","7.8851402261300007E-3","-1.0894010000000001","13.194175","Bangasse","BF4903040061",NA,NA,NA,"oui",2020-08-07,4,0,2,"Robin",2020-07-15
"7","id_57497",57496,"BF4901","UD-161",2229.22587853,"Kongoussi","BF490103",NA,"NA","NA","Bam","BF4901","Centre-Nord","BF49",212290.518069069,0.0105008264090473,4,-1.52508916009,13.315325977,"8363","8.7012316538899997E-3","-1.5293969999999999","13.322886","Bango","BF4901030021",NA,NA,NA,"oui",2020-07-26,4,0,2,"Robin",2020-07-26
"8","id_57622",57621,"BF4901","UC-160",1649.46383686,"Kongoussi","BF490103",NA,"NA","NA","Bam","BF4901","Centre-Nord","BF49",212290.518069069,0.00776984225137812,8,-1.53193477752,13.319278296,"8363","4.4108778259700004E-3","-1.5293969999999999","13.322886","Bango","BF4901030021",NA,NA,NA,"oui",2020-07-26,8,0,2,"Robin",2020-07-26
"9","id_57623",57622,"BF4901","UD-160",3609.22285095,"Kongoussi","BF490103",NA,"NA","NA","Bam","BF4901","Centre-Nord","BF49",212290.518069069,0.0170013379955846,8,-1.52508916009,13.3232306149,"8363","4.3216020350000002E-3","-1.5293969999999999","13.322886","Bango","BF4901030021",NA,NA,NA,"oui",2020-07-26,8,0,2,"Robin",2020-07-26
"10","id_37213",37212,"BF13","UF-289",3642.9016187,"Ouagadougou","BF130004",NA,"NA","NA","Kadiogo","BF1300","Centre","BF13",2907110.40733481,0.00125310053911566,4,-1.51139792562,12.3035323309,"4722","3.0856088475600001E-3","-1.5083329999999999","12.303889","Banogo","BF1300040011",NA,NA,NA,"oui",2020-08-09,4,0,8,"Robin",2020-08-04
"11","id_37085",37084,"BF4604","IS-289",1341.48332075,"Dédougou","BF460402","Dedougou","NA","NA","Mouhoun","BF4604","Boucle du Mouhoun","BF46",274865.644058237,0.0048805056206507,4,-3.55823746704,12.2995800119,"4606","1.8303617728200001E-2","-3.5666669999999998","12.283333000000001","Wetina","BF4604020007",NA,NA,NA,NA,NA,NA,-4,5,"Alberto",NA
"12","id_39307",39306,"BF4604","IV-280",41.7582356655,"Dédougou","BF460402","Dedougou","NA","NA","Mouhoun","BF4604","Boucle du Mouhoun","BF46",274865.644058237,0.000151922353950691,4,-3.53770061539,12.3746740718999,"5004","9.6980977977599997E-3","-3.5333329999999998","12.383333","Kamandena","BF4604020022",NA,NA,NA,NA,NA,NA,-4,5,"Alberto",NA
"13","id_41343",41342,"BF4604","JC-271",52.1977945818,"Dédougou","BF460402","Dedougou","NA","NA","Mouhoun","BF4604","Boucle du Mouhoun","BF46",274865.644058237,0.00018990294243809,4,-3.48978129527,12.4418634939,"5205","2.8206567410100001E-2","-3.516667","12.4333329999999","Souri","BF4604020027",NA,NA,NA,NA,NA,NA,-4,5,"Alberto",NA
"14","id_41348",41347,"BF4604","JJ-271",1518.95582233,"Dédougou","BF460402","Dedougou","NA","NA","Mouhoun","BF4604","Boucle du Mouhoun","BF46",274865.644058237,0.00552617562494705,4,-3.4418619752,12.4458158127999,"5206","1.51183343857E-2","-3.4333330000000002","12.4333329999999","Mouindasso","BF4604020028",NA,NA,NA,NA,NA,NA,-4,5,"Alberto",NA
"15","id_41209",41208,"BF55","RU-272",527.790094379,"Sourgoubila","BF550204",NA,"NA","NA","Kourwéogo","BF5502","Plateau-Central","BF55",599312.425317534,0.000880659355759829,4,-1.94267180911,12.433958856,"5217","7.3548676073399996E-3","-1.95","12.4333329999999","Bantogodo","BF5502040024",NA,NA,NA,"oui",2020-08-04,4,0,8,"Robin",2020-08-01
