ADM1_FR,ADM1_PCODE,ADM2_FR,ADM2_PCODE,ADM3_REF,ADM3_PCODE,fb_pop
Boucle du Mouhoun,BF46,Balé,BF4601,Pa,BF460106,28176.80396
Boucle du Mouhoun,BF46,Balé,BF4601,Pompoi,BF460107,12854.638130000001
Boucle du Mouhoun,BF46,Balé,BF4601,NA,BF460101,37464.0616
Boucle du Mouhoun,BF46,Balé,BF4601,NA,BF460102,16514.44266
Boucle du Mouhoun,BF46,Balé,BF4601,NA,BF460103,30426.46543
Boucle du Mouhoun,BF46,Balé,BF4601,NA,BF460104,44671.038380000005
Boucle du Mouhoun,BF46,Balé,BF4601,NA,BF460105,31020.65189
Boucle du Mouhoun,BF46,Balé,BF4601,NA,BF460108,13443.8744
Boucle du Mouhoun,BF46,Balé,BF4601,NA,BF460109,18399.73608
Boucle du Mouhoun,BF46,Balé,BF4601,NA,BF460110,19471.7571
Boucle du Mouhoun,BF46,Banwa,BF4602,Balave,BF460201,20638.8776
Boucle du Mouhoun,BF46,Banwa,BF4602,NA,BF460202,61223.65934
Boucle du Mouhoun,BF46,Banwa,BF4602,NA,BF460203,9204.49252
Boucle du Mouhoun,BF46,Banwa,BF4602,NA,BF460204,36309.40727
Boucle du Mouhoun,BF46,Banwa,BF4602,NA,BF460205,147452.19939
Boucle du Mouhoun,BF46,Banwa,BF4602,NA,BF460206,34972.124429999996
Boucle du Mouhoun,BF46,Kossi,BF4603,Sono,BF460311,7869.9744
Boucle du Mouhoun,BF46,Kossi,BF4603,NA,BF460301,61719.370140000006
Boucle du Mouhoun,BF46,Kossi,BF4603,NA,BF460302,12669.26635
Boucle du Mouhoun,BF46,Kossi,BF4603,NA,BF460303,11397.93865
Boucle du Mouhoun,BF46,Kossi,BF4603,NA,BF460304,56470.15205
Boucle du Mouhoun,BF46,Kossi,BF4603,NA,BF460305,31406.130699999998
Boucle du Mouhoun,BF46,Kossi,BF4603,NA,BF460306,32128.220950000003
Boucle du Mouhoun,BF46,Kossi,BF4603,NA,BF460307,11658.120429999999
Boucle du Mouhoun,BF46,Kossi,BF4603,NA,BF460308,5271.233719999999
Boucle du Mouhoun,BF46,Kossi,BF4603,NA,BF460309,82671.32533
Boucle du Mouhoun,BF46,Mouhoun,BF4604,Dedougou,BF460402,105600.92761
Boucle du Mouhoun,BF46,Mouhoun,BF4604,Safane,BF460406,57734.79555999999
Boucle du Mouhoun,BF46,Mouhoun,BF4604,Tcheriba,BF460407,43874.55671
Boucle du Mouhoun,BF46,Mouhoun,BF4604,NA,BF460401,65977.56776
Boucle du Mouhoun,BF46,Mouhoun,BF4604,NA,BF460403,14522.707980000001
Boucle du Mouhoun,BF46,Mouhoun,BF4604,NA,BF460404,24206.49666
Boucle du Mouhoun,BF46,Mouhoun,BF4604,NA,BF460405,43777.978820000004
Boucle du Mouhoun,BF46,Nayala,BF4605,Ye,BF460506,38283.383760000004
Boucle du Mouhoun,BF46,Nayala,BF4605,NA,BF460501,37331.58748
Boucle du Mouhoun,BF46,Nayala,BF4605,NA,BF460502,19311.32183
Boucle du Mouhoun,BF46,Nayala,BF4605,NA,BF460503,19066.84456
Boucle du Mouhoun,BF46,Nayala,BF4605,NA,BF460504,32748.447239999998
Boucle du Mouhoun,BF46,Nayala,BF4605,NA,BF460505,35437.32323
Boucle du Mouhoun,BF46,Sourou,BF4606,Lanfiera,BF460605,21480.4074
Boucle du Mouhoun,BF46,Sourou,BF4606,Lankoue,BF460606,20218.73024
Boucle du Mouhoun,BF46,Sourou,BF4606,Toeni,BF460607,32578.77854
Boucle du Mouhoun,BF46,Sourou,BF4606,NA,BF460601,24212.037659999998
Boucle du Mouhoun,BF46,Sourou,BF4606,NA,BF460602,14424.62935
Boucle du Mouhoun,BF46,Sourou,BF4606,NA,BF460603,22379.19834
Boucle du Mouhoun,BF46,Sourou,BF4606,NA,BF460604,33106.94488
Boucle du Mouhoun,BF46,Sourou,BF4606,NA,BF460608,71073.04651999999
Cascades,BF47,Comoé,BF4701,Beregadougou,BF470102,12531.0252
Cascades,BF47,Comoé,BF4701,Ouo,BF470106,62773.71414
Cascades,BF47,Comoé,BF4701,Sideradougou,BF470107,148790.76562999998
Cascades,BF47,Comoé,BF4701,Soubakaniedougou,BF470108,37350.62325
Cascades,BF47,Comoé,BF4701,Tiefora,BF470109,76659.21287999999
Cascades,BF47,Comoé,BF4701,NA,BF470101,138048.01443
