Auteur,Index,uuid,Date,Base,Enqueteur,Question,Probl.me,Anciennes.valeurs,Nouvelles.valeurs,ddsagr,Retour.Enquêteur,Retour.chargé,Action,Commentaire.RBB,Commentaire.CC,Commentaire.AO,Commentaire.GIS,dffgawesd
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
Elliott Messeiller,NA,f3227fe6-78ba-490b-9480-0f31750ac1f6,2020-09-15,NA,NA,Age chef menage,Manque âge du chef de ménage quand il est le répondant,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elliott Messeiller,NA,e27b5949-728e-4913-b07f-c94a1b278ace,2020-09-15,NA,NA,Age chef menage,Manque âge du chef de ménage quand il est le répondant,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elliott Messeiller,NA,994088cf-ac1e-4174-9ecb-ff2201d98655,2020-09-15,NA,NA,Age chef menage,Manque âge du chef de ménage quand il est le répondant,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elliott Messeiller,NA,ec37cd9c-27a4-4a48-8ac5-ceef62c3cfc7,2020-09-15,NA,NA,Age chef menage,Manque âge du chef de ménage quand il est le répondant,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elliott Messeiller,NA,28d6720d-263a-4d5f-a849-2017aa3ad1e3,2020-09-15,NA,NA,Age chef menage,Manque âge du chef de ménage quand il est le répondant,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elliott Messeiller,NA,3a2e9c58-a17b-4ca5-8c27-ec4296ef3e94,2020-09-15,NA,NA,Age chef menage,Manque âge du chef de ménage quand il est le répondant,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elliott Messeiller,NA,af15720a-b9fa-4b2d-bdaf-465757705c40,2020-09-15,NA,NA,Age chef menage,Manque âge du chef de ménage quand il est le répondant,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elliott Messeiller,NA,36f954b4-1d41-4ffd-9b0a-5df214355ac6,2020-09-15,NA,NA,Age chef menage,Manque âge du chef de ménage quand il est le répondant,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elliott Messeiller,NA,f0ec7af4-3a56-461c-89ea-4c6427cd5a26,2020-09-15,NA,NA,Age chef menage,Manque âge du chef de ménage quand il est le répondant,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elliott Messeiller,NA,300714a4-9801-4900-909f-0c908ee78edc,2020-09-15,NA,NA,Age chef menage,Manque âge du chef de ménage quand il est le répondant,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elliott Messeiller,NA,23f8a12a-b421-4f55-aa85-30babd6fc7a8,2020-09-15,NA,NA,Age chef menage,Manque âge du chef de ménage quand il est le répondant,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elliott Messeiller,NA,5c08cd0a-e0a8-4586-813f-28e06cd1cead,2020-09-15,NA,NA,Age chef menage,Manque âge du chef de ménage quand il est le répondant,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elliott Messeiller,NA,ba6963b0-7f35-4d20-9a3f-14df0dbfd626,2020-09-15,NA,NA,Age chef menage,Manque âge du chef de ménage quand il est le répondant,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
