Question de recherche,Sous-question de recherche,Groupe de population,Indicator,Sous-ensemble de donnée,Centre-Est,Sahel,Centre-Nord,Centre-Ouest,Nord,Boucle du Mouhoun,Hauts-Bassins,Est,Cascades,Plateau Central,Centre-Sud,Sud-Ouest,Centre
Sécurité alimentaire,Food consumption score,Communauté hôte,FCS score,NA,40,49.1,45.4,43.9,36.7,44.4,52.8,36.1,49,41.1,43.3,41,55.7
Sécurité alimentaire,Food consumption score,Communauté hôte,FCS seuils: Acceptable,NA,47,71,66,66,43,64,79,44,73,53,60,61,83
Sécurité alimentaire,Food consumption score,Communauté hôte,FCS seuils: Limite,NA,44,23,31,26,44,31,17,39,26,40,25,32,17
Sécurité alimentaire,Food consumption score,Communauté hôte,FCS seuils: Pauvre,NA,9,6,3,7,13,5,3,17,1,6,15,7,NA
Sécurité alimentaire,Food consumption score,PDI,FCS score,NA,26.7,41.8,39.2,NA,35,34.2,30.9,29.5,35.6,33.2,NA,NA,NA
Sécurité alimentaire,Food consumption score,PDI,FCS seuils: Acceptable,NA,7,56,56,NA,43,43,31,23,39,36,NA,NA,NA
Sécurité alimentaire,Food consumption score,PDI,FCS seuils: Limite,NA,69,42,40,NA,41,47,45,52,43,52,NA,NA,NA
Sécurité alimentaire,Food consumption score,PDI,FCS seuils: Pauvre,NA,24,2,4,NA,16,9,24,25,18,12,NA,NA,NA
Sécurité alimentaire,Household hunger scale,Communauté hôte,HHS score,NA,0.5,0.8,0.2,0.8,0.4,0.4,0.4,0.6,0.3,0.3,0.7,0.4,0.2
Sécurité alimentaire,Household hunger scale,Communauté hôte,HHS seuils: Faim modérée,NA,13,26,4,25,11,13,12,19,9,10,24,11,6
Sécurité alimentaire,Household hunger scale,Communauté hôte,HHS seuils: Faim sévère,NA,2,1,NA,4,0,1,NA,0,NA,NA,0,NA,NA
Sécurité alimentaire,Household hunger scale,Communauté hôte,HHS seuils: Peu ou pas de faim,NA,84,74,96,72,89,87,88,80,91,90,76,89,94
Sécurité alimentaire,Household hunger scale,PDI,HHS score,NA,1,0.9,0.3,NA,0.6,0.6,1.3,1.3,1.7,0.9,NA,NA,NA
Sécurité alimentaire,Household hunger scale,PDI,HHS seuils: Faim modérée,NA,34,31,7,NA,18,14,39,46,35,30,NA,NA,NA
Sécurité alimentaire,Household hunger scale,PDI,HHS seuils: Faim sévère,NA,1,0,NA,NA,2,1,5,NA,12,1,NA,NA,NA
