Question de recherche,Sous-question de recherche,Groupe de population,Indicator,Sous-ensemble de donnée,Sanmatenga,Loroum,Yatenga,Mouhoun,Komonjdjari,Bam,Kossi,Gourma,Nayala,Yagha,Soum,Oudalan,Sourou,Kompienga,Banwa,Gnagna,Namentenga,Zondoma,Tapoa,Bale,Passore
Information générale,Modalité,Modalité d’enquête: Face à face,NA,74,79,8,85,97,4,59,41,67,100,31,NA,48,36,NA,96,90,92,100,11,100,100
Information générale,Modalité,Modalité d’enquête: Telephone,NA,26,21,92,15,3,96,41,59,33,NA,69,100,52,64,100,4,10,8,NA,89,NA,NA
Information générale,Démographie,Genre du chef de ménage: Femme,Sous-ensemble de donnée,27,32,16,25,44,14,20,23,36,43,18,12,21,20,31,31,28,27,28,18,38,29
Information générale,Démographie,Genre du chef de ménage: Homme,Sous-ensemble de donnée,73,68,84,75,56,86,80,77,64,57,82,88,79,80,69,69,72,73,72,82,62,71
Information générale,Démographie,Genre répondant: Femme,NA,27,32,16,25,44,14,20,23,36,43,18,12,21,20,31,31,28,27,28,18,38,29
Information générale,Démographie,Genre répondant: Homme,NA,73,68,84,75,56,86,80,77,64,57,82,88,79,80,69,69,72,73,72,82,62,71
Information générale,Socio-économique,Profession chef de ménage: Agriculteur,NA,53,72,76,67,75,64,73,79,73,85,74,62,60,74,67,75,83,74,73,74,76,88
Information générale,Socio-économique,Profession chef de ménage: Autre,NA,NA,0,NA,1,4,NA,1,0,NA,NA,5,1,0,1,NA,1,NA,0,NA,NA,NA,NA
Information générale,Socio-économique,Profession chef de ménage: Chef communautaire,NA,NA,0,1,NA,NA,NA,1,NA,NA,NA,0,1,0,3,NA,NA,NA,NA,2,NA,NA,3
Information générale,Socio-économique,Profession chef de ménage: Chômeur,NA,1,1,0,0,1,0,2,0,2,NA,0,0,NA,2,2,NA,NA,NA,NA,1,NA,NA
Information générale,Socio-économique,Profession chef de ménage: Commerçant,NA,9,10,5,8,1,2,6,9,5,3,8,13,12,5,9,5,4,3,3,3,8,2
